3374,673,3.0
5953,3082,3.0
1812,2044,2.0
1908,292,3.0
5787,2804,4.0
2173,2917,4.0
544,1204,4.0
4783,50,5.0
1724,207,3.0
3746,223,4.0
5795,786,3.0
649,356,4.0
6037,1407,4.0
3371,3260,4.0
392,2795,4.0
4169,3896,3.0
3373,3753,4.0
317,2804,4.0
5636,745,5.0
1632,3362,4.0
300,2020,4.0
1367,3703,4.0
1163,3535,3.0
5074,1554,3.0
1896,3419,3.0
4170,3198,4.0
5278,1375,3.0
1465,2750,4.0
4979,2454,3.0
1605,590,4.0
3607,2248,4.0
2567,252,3.0
4020,1198,4.0
1002,1729,4.0
4412,2712,3.0
3808,1544,3.0
1440,161,4.0
4160,1301,4.0
1128,541,4.0
2085,1884,3.0
5476,3654,4.0
5464,1387,4.0
1706,1281,4.0
5797,165,4.0
1561,3095,4.0
4447,2010,4.0
4824,3686,3.0
1447,435,3.0
4541,3827,3.0
4607,955,4.0
5300,2384,3.0
439,1302,4.0
1605,1031,4.0
4457,3152,4.0
628,141,4.0
2819,260,4.0
5974,2114,4.0
1866,333,3.0
2100,2088,3.0
1624,507,4.0
2110,1617,4.0
4643,2692,4.0
5727,2858,4.0
5403,2087,4.0
5435,3730,4.0
3224,832,3.0
5001,339,4.0
1736,2150,4.0
2064,1952,4.0
4447,3634,4.0
134,112,3.0
3032,2490,3.0
2030,916,4.0
3685,1732,4.0
2016,153,3.0
710,2324,4.0
2199,2828,2.0
1820,185,3.0
2750,2946,4.0
1015,1212,4.0
5766,3565,3.0
2072,2208,4.0
5305,912,4.0
1998,300,4.0
1579,3591,3.0
3808,427,2.0
385,3793,4.0
2631,1919,3.0
5992,2961,3.0
3099,1206,4.0
430,339,4.0
3806,3694,2.0
770,2379,2.0
5837,1027,3.0
367,3099,3.0
2109,3039,4.0
3080,1783,3.0
4840,3100,4.0
4726,2581,3.0
2109,520,3.0
5482,1093,3.0
2330,1262,4.0
2764,2312,4.0
524,1050,4.0
2237,35,3.0
5746,2683,3.0
2419,468,3.0
1521,25,4.0
1731,1259,4.0
4607,1277,4.0
4478,2134,3.0
549,919,4.0
5531,2993,4.0
4001,3388,3.0
1695,1373,3.0
2683,2108,4.0
3539,3422,3.0
1693,594,4.0
777,1167,3.0
3804,1982,4.0
212,2518,4.0
3858,2140,4.0
2941,1211,4.0
2752,2474,3.0
3918,2707,4.0
3018,733,4.0
4007,3945,2.0
563,3658,4.0
5081,1265,4.0
921,2571,4.0
2190,2394,4.0
3705,2801,3.0
4048,2565,4.0
2304,1089,4.0
5367,479,3.0
1884,708,3.0
5361,318,5.0
5948,1198,4.0
4362,3253,4.0
5504,1882,2.0
4771,492,4.0
87,3633,3.0
2947,3752,3.0
3771,328,3.0
1842,3566,3.0
3812,1967,4.0
2907,1703,3.0
3859,227,3.0
4884,3633,3.0
2611,3524,3.0
1194,1834,4.0
2998,2792,3.0
4774,2916,4.0
3618,597,4.0
1884,1253,4.0
752,3720,4.0
3360,933,4.0
199,62,4.0
1418,694,3.0
6007,2746,3.0
5009,1269,4.0
5785,923,4.0
2158,593,4.0
5479,3361,4.0
4041,1885,4.0
977,3210,4.0
4907,3685,4.0
1511,1250,4.0
6009,1586,3.0
1514,2007,3.0
860,3908,2.0
406,551,4.0
1383,3846,3.0
157,3105,4.0
4227,2160,4.0
5795,1479,3.0
5580,2290,3.0
4318,933,4.0
970,1127,4.0
4625,3101,4.0
1749,1237,4.0
3755,1293,4.0
3768,543,3.0
3654,2280,3.0
3185,50,5.0
4086,529,4.0
5994,1527,4.0
5185,2137,4.0
130,524,4.0
2206,492,4.0
1613,1394,4.0
1320,1372,3.0
2470,2145,3.0
22,3037,4.0
6037,930,4.0
5420,938,4.0
5718,3408,4.0
566,1431,3.0
3507,2395,4.0
2820,3755,3.0
5896,34,4.0
3208,2420,3.0
2635,1965,4.0
1555,3270,3.0
869,802,3.0
1587,196,3.0
4391,2123,3.0
4467,909,4.0
4448,2644,4.0
623,1391,3.0
1434,934,4.0
1286,1093,3.0
5818,785,3.0
1690,3384,4.0
349,2006,4.0
4227,1564,4.0
4386,2002,3.0
3334,2700,4.0
2776,3591,3.0
4937,290,4.0
3167,2001,4.0
3701,1283,4.0
1837,2572,3.0
2030,2985,3.0
3900,1291,4.0
520,1909,4.0
4477,2622,3.0
3802,3793,4.0
5996,2279,3.0
5480,3210,4.0
1053,3175,4.0
4407,1863,2.0
1001,364,4.0
924,300,4.0
5319,2386,2.0
4514,1333,4.0
5501,920,4.0
1181,1394,4.0
2181,1682,4.0
4169,2469,3.0
4946,3114,4.0
2927,2248,4.0
5875,17,4.0
4335,2720,2.0
4883,2354,3.0
1034,3287,3.0
3688,3358,4.0
1741,1265,4.0
5271,58,4.0
2427,2599,4.0
1173,1747,3.0
3013,910,4.0
3562,2148,3.0
2206,337,4.0
1816,1275,4.0
338,2605,3.0
524,1215,4.0
4508,3744,3.0
3955,3824,2.0
1694,750,4.0
721,653,3.0
2996,1385,3.0
163,544,3.0
5367,1104,4.0
4802,3873,4.0
637,2872,4.0
148,2929,3.0
2243,1094,4.0
4972,1243,4.0
1824,1059,3.0
4378,785,3.0
1937,1885,4.0
4411,2188,3.0
5367,3593,2.0
4271,3296,4.0
268,3825,3.0
2761,1252,4.0
5103,356,4.0
386,2890,4.0
2700,799,3.0
3690,1120,4.0
5979,913,4.0
2116,3457,3.0
716,2268,4.0
3869,34,4.0
2183,3004,2.0
2899,3070,3.0
273,3793,4.0
1426,2248,4.0
